Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR11352506_1	0.6626021330329489	0.10219302962121102
SRR11352506_2	0.5825771762032057	0.0
SRR11352507_1	0.28424473087057	0.0
SRR11352507_2	0.2513793645834384	0.0
SRR11352508_1	0.3896489932380108	0.0
SRR11352508_2	0.3585751105053206	0.0
SRR11352509_1	0.3375664646402012	0.0
SRR11352509_2	0.328067764916402	0.0
SRR11352510_1	0.5664625197034358	0.0
SRR11352510_2	0.558482457124111	0.0
SRR11352511_1	0.8259451879405572	0.0
SRR11352511_2	0.7565098461739692	0.0
SRR11352512_1	0.39316668864140875	0.0
SRR11352512_2	0.45699357108385363	0.0
SRR11352513_1	0.17238834189634514	0.0
SRR11352513_2	0.16135033516035785	0.0
SRR11352514_1	0.2611123278352849	0.0
SRR11352514_2	0.2357577719067356	0.0
SRR11352515_1	0.2345730059301079	0.0
SRR11352515_2	0.21730781645433855	0.0
SRR11352516_1	0.4631205486778687	0.0
SRR11352516_2	0.39978731862232	0.0
SRR11352517_1	0.5946705330557503	0.0
SRR11352517_2	0.5215058700962273	0.0
SRR11352518_1	0.10598298930440826	0.0
SRR11352518_2	0.11537851619460211	0.0
SRR11352519_1	0.39608277372232614	0.0
SRR11352519_2	0.35113671407117353	0.0
SRR11352520_1	0.9073630415002796	0.12092885933296293
SRR11352520_2	0.7459848511492249	0.0
SRR11352521_1	0.8850527741167045	0.11482863329671633
SRR11352521_2	0.7237902728279333	0.0
SRR11352522_1	0.718284544868946	0.0
SRR11352522_2	0.5874543900824464	0.0
SRR11352523_1	0.35000092652051984	0.0
SRR11352523_2	0.29693693943982435	0.0
SRR11352524_1	0.38205936602580215	0.0
SRR11352524_2	0.428869437402619	0.0
SRR11352525_1	0.35351685701955143	0.0
SRR11352525_2	0.30624242916804445	0.0
SRR11352526_1	0.32592968926644433	0.0
SRR11352526_2	0.2909934049238958	0.0
SRR11352527_1	0.46714176922146405	0.10814406995800713
SRR11352527_2	0.6399034080714469	0.0
SRR11352528_1	0.4663110652844765	0.0
SRR11352528_2	0.4403185953443296	0.0
SRR11352529_1	1.3974077351563843	0.20329445496222354
SRR11352529_2	1.1582471598647885	0.0
SRR11352530_1	1.6853039291804472	0.19654637313667966
SRR11352530_2	1.4454743226110518	0.0
SRR11352531_1	0.7621935225112124	0.11818666020414337
SRR11352531_2	0.6778235268533189	0.0
SRR11352532_1	0.6600656237490431	0.0
SRR11352532_2	0.5583485359044434	0.0
SRR11392157_1	0.17661521423893903	0.0
SRR11392157_2	0.1925982095209749	0.0
SRR11392158_1	0.37628128048297593	0.0
SRR11392158_2	0.34392353325930436	0.0
SRR11392159_1	0.8179846867139335	0.0
SRR11392159_2	0.6993856805706751	0.0
SRR11392160_1	0.8741506939084025	0.0
SRR11392160_2	0.7452800191611434	0.0
SRR11392161_1	0.31260258820777	0.0
SRR11392161_2	0.2932362092773062	0.0
SRR11392162_1	0.19229132090422563	0.0
SRR11392162_2	0.16899195001703587	0.0
SRR11392163_1	0.18784943248705932	0.0
SRR11392163_2	0.18282678370218874	0.0
SRR11392164_1	0.8361014865024408	0.0
SRR11392164_2	0.7900224182026343	0.0
SRR11392165_1	0.19470386432015835	0.0
SRR11392165_2	0.3367272801487855	0.0
SRR11392166_1	0.39923575033236575	0.0
SRR11392166_2	0.4109494399191539	0.0
SRR11392167_1	0.5114560097013707	0.0
SRR11392167_2	0.44051966371406165	0.0
SRR11392168_1	0.26187787810882146	0.0
SRR11392168_2	0.2419012881430585	0.0
SRR11392169_1	0.3067147132479084	0.0
SRR11392169_2	0.2733341045345862	0.0
SRR11392170_1	0.0	0.0
SRR11392170_2	0.19982509574023227	0.0
SRR11392171_1	0.6173046670532465	0.0
SRR11392171_2	0.5467215404758365	0.0
SRR11392172_1	0.1316863415125866	0.0
SRR11392172_2	0.13385780798855323	0.0
SRR11392173_1	0.28025109604802295	0.0
SRR11392173_2	0.29447032798769834	0.0
SRR11392174_1	0.39814315118478427	0.0
SRR11392174_2	0.3706025370807781	0.0
SRR11392175_1	0.5169210699303997	0.0
SRR11392175_2	0.5767719271474987	0.0
SRR11392177_1	0.24998191051585197	0.0
SRR11392177_2	0.2926810013448379	0.0
SRR11392178_1	2.973653964508567	0.47291087632168916
SRR11392178_2	2.778451627903497	0.0
SRR11392179_1	0.19209879709293665	0.0
SRR11392179_2	0.19474752062605408	0.0
SRR11392180_1	0.27724619639911646	0.0
SRR11392180_2	0.272236650859643	0.0
SRR11392181_1	0.20323884775346907	0.0
SRR11392181_2	0.18342587601380622	0.0
SRR11392182_1	0.3223285397022567	0.0
SRR11392182_2	0.3290473744092279	0.0
