Sample	Unique Reads	Duplicate Reads
SRR11352506_1	80161227.0	99015377.0
SRR11352506_2	83452280.0	95724324.0
SRR11352507_1	90297534.0	91084896.0
SRR11352507_2	93893163.0	87489267.0
SRR11352508_1	69763898.0	68551614.0
SRR11352508_2	72672023.0	65643489.0
SRR11352509_1	72098805.0	78332311.0
SRR11352509_2	76927622.0	73503494.0
SRR11352510_1	65519461.0	78013248.0
SRR11352510_2	69847596.0	73685113.0
SRR11352511_1	57435265.0	104292174.0
SRR11352511_2	61537805.0	100189634.0
SRR11352512_1	71894796.0	67090529.0
SRR11352512_2	74549726.0	64435599.0
SRR11352513_1	77600005.0	49397562.0
SRR11352513_2	79483013.0	47514554.0
SRR11352514_1	73049112.0	63825697.0
SRR11352514_2	75605855.0	61268954.0
SRR11352515_1	89008255.0	88325449.0
SRR11352515_2	91785360.0	85548344.0
SRR11352516_1	64467424.0	60664359.0
SRR11352516_2	66751082.0	58380701.0
SRR11352517_1	49499836.0	70897083.0
SRR11352517_2	51758170.0	68638749.0
SRR11352518_1	61633276.0	57316945.0
SRR11352518_2	64061376.0	54888845.0
SRR11352519_1	64840842.0	77952543.0
SRR11352519_2	67431571.0	75361814.0
SRR11352520_1	77457964.0	93370572.0
SRR11352520_2	80859717.0	89968819.0
SRR11352521_1	55721682.0	88621236.0
SRR11352521_2	58995863.0	85347055.0
SRR11352522_1	58688336.0	84485843.0
SRR11352522_2	61256533.0	81917646.0
SRR11352523_1	72230239.0	75203085.0
SRR11352523_2	74470414.0	72962910.0
SRR11352524_1	67855539.0	64724904.0
SRR11352524_2	70542405.0	62038038.0
SRR11352525_1	67334193.0	78581904.0
SRR11352525_2	70381617.0	75534480.0
SRR11352526_1	80706726.0	67105215.0
SRR11352526_2	83436225.0	64375716.0
SRR11352527_1	55085516.0	61921362.0
SRR11352527_2	57372788.0	59634090.0
SRR11352528_1	60372312.0	81961218.0
SRR11352528_2	65523708.0	76809822.0
SRR11352529_1	29195709.0	69348543.0
SRR11352529_2	31263388.0	67280864.0
SRR11352530_1	34904984.0	69902343.0
SRR11352530_2	37323606.0	67483721.0
SRR11352531_1	70686300.0	64460086.0
SRR11352531_2	73007321.0	62139065.0
SRR11352532_1	64638496.0	87080358.0
SRR11352532_2	67618732.0	84100122.0
SRR11392157_1	67958721.0	57186783.0
SRR11392157_2	69689782.0	55455722.0
SRR11392158_1	55411317.0	52575187.0
SRR11392158_2	56795507.0	51190997.0
SRR11392159_1	51984403.0	72938229.0
SRR11392159_2	54162257.0	70760375.0
SRR11392160_1	48509790.0	95331313.0
SRR11392160_2	52373594.0	91467509.0
SRR11392161_1	85827488.0	79469288.0
SRR11392161_2	88762463.0	76534313.0
SRR11392162_1	87443350.0	63582187.0
SRR11392162_2	89430850.0	61594687.0
SRR11392163_1	85665707.0	66365628.0
SRR11392163_2	87812922.0	64218413.0
SRR11392164_1	51668294.0	80821364.0
SRR11392164_2	55706719.0	76782939.0
SRR11392165_1	62760665.0	62967194.0
SRR11392165_2	65935930.0	59791929.0
SRR11392166_1	59381306.0	77689084.0
SRR11392166_2	62273331.0	74797059.0
SRR11392167_1	62613008.0	81076378.0
SRR11392167_2	65096492.0	78592894.0
SRR11392168_1	73958287.0	81663869.0
SRR11392168_2	76491133.0	79131023.0
SRR11392169_1	67499924.0	72437608.0
SRR11392169_2	70835535.0	69101997.0
SRR11392170_1	79167594.0	82696960.0
SRR11392170_2	83466116.0	78398438.0
SRR11392171_1	51097295.0	79323394.0
SRR11392171_2	53644115.0	76776574.0
SRR11392172_1	64753573.0	36007826.0
SRR11392172_2	66319771.0	34441628.0
SRR11392173_1	65081216.0	63863864.0
SRR11392173_2	67834754.0	61110326.0
SRR11392174_1	70207164.0	65606801.0
SRR11392174_2	72144438.0	63669527.0
SRR11392175_1	56573503.0	81939133.0
SRR11392175_2	60226967.0	78285669.0
SRR11392177_1	86215189.0	117369942.0
SRR11392177_2	91441046.0	112144085.0
SRR11392178_1	38331831.0	67799583.0
SRR11392178_2	40445269.0	65686145.0
SRR11392179_1	71139872.0	50956676.0
SRR11392179_2	73076406.0	49020142.0
SRR11392180_1	65911935.0	45754881.0
SRR11392180_2	67616719.0	44050097.0
SRR11392181_1	51632716.0	18770655.0
SRR11392181_2	52276756.0	18126615.0
SRR11392182_1	98237535.0	108569160.0
SRR11392182_2	104282907.0	102523788.0
