Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR11352506_1	SRR11352506_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119877441.0	17.7 Gbp	0.0	36-151	52.0	49.01536469964508	148.45945816444313	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR11352506_2	SRR11352506_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119877441.0	17.7 Gbp	0.0	36-151	52.0	50.50239754489425	148.52127826118678	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352507_1	SRR11352507_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121017800.0	17.9 Gbp	0.0	36-151	51.0	54.494997519523494	148.61339228609344	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352507_2	SRR11352507_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121017800.0	17.9 Gbp	0.0	36-151	51.0	56.2036033339837	148.41617662856208	151	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
SRR11352508_1	SRR11352508_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89920964.0	13.3 Gbp	0.0	36-151	51.0	54.848283348718454	148.5335087266191	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352508_2	SRR11352508_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89920964.0	13.3 Gbp	0.0	36-151	51.0	56.493722246737555	148.34097496997475	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352509_1	SRR11352509_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99794661.0	14.8 Gbp	0.0	36-151	53.0	52.34892140302125	148.53497784816363	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352509_2	SRR11352509_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99794661.0	14.7 Gbp	0.0	36-151	53.0	54.93923412183378	148.17762605556624	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
SRR11352510_1	SRR11352510_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91584216.0	13.5 Gbp	0.0	36-151	52.0	50.23923162944283	148.02704808872306	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352510_2	SRR11352510_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91584216.0	13.5 Gbp	0.0	36-151	52.0	52.5195489878672	147.99377719191264	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352511_1	SRR11352511_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110880544.0	16.3 Gbp	0.0	36-151	52.0	38.103895565384995	147.17153570242223	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR11352511_2	SRR11352511_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110880544.0	16.3 Gbp	0.0	36-151	52.0	40.221954186794235	147.91914663586067	151	pass	pass	pass	pass	warn	pass	warn	fail	warn	pass
SRR11352512_1	SRR11352512_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93720625.0	13.8 Gbp	0.0	36-151	51.0	56.150144539508474	147.9796691283269	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352512_2	SRR11352512_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93720625.0	13.8 Gbp	0.0	36-151	51.0	57.68997962026424	148.35150943562317	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352513_1	SRR11352513_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86542932.0	12.8 Gbp	0.0	36-151	51.0	65.92093646933064	148.7900642885545	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352513_2	SRR11352513_2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86542932.0	12.8 Gbp	0.0	36-151	51.0	66.89543272560378	148.69597315006615	151	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR11352514_1	SRR11352514_1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90072996.0	13.3 Gbp	0.0	36-151	53.0	58.39206935744842	148.5381586507903	151	pass	pass	pass	pass	pass	pass	warn	warn	warn	pass
