Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR11352506_1	50.98463530035492	52.0	148.45945816444313	151	10.0	119877441.0
SRR11352506_2	49.49760245510575	52.0	148.52127826118678	151	0.0	119877441.0
SRR11352507_1	45.505002480476506	51.0	148.61339228609344	151	0.0	121017800.0
SRR11352507_2	43.7963966660163	51.0	148.41617662856208	151	10.0	121017800.0
SRR11352508_1	45.151716651281546	51.0	148.5335087266191	151	0.0	89920964.0
SRR11352508_2	43.506277753262445	51.0	148.34097496997475	151	0.0	89920964.0
SRR11352509_1	47.65107859697875	53.0	148.53497784816363	151	0.0	99794661.0
SRR11352509_2	45.06076587816622	53.0	148.17762605556624	151	0.0	99794661.0
SRR11352510_1	49.76076837055717	52.0	148.02704808872306	151	0.0	91584216.0
SRR11352510_2	47.4804510121328	52.0	147.99377719191264	151	0.0	91584216.0
SRR11352511_1	61.896104434615005	52.0	147.17153570242223	151	10.0	110880544.0
SRR11352511_2	59.778045813205765	52.0	147.91914663586067	151	10.0	110880544.0
SRR11352512_1	43.849855460491526	51.0	147.9796691283269	151	0.0	93720625.0
SRR11352512_2	42.31002037973576	51.0	148.35150943562317	151	0.0	93720625.0
SRR11352513_1	34.07906353066936	51.0	148.7900642885545	151	0.0	86542932.0
SRR11352513_2	33.10456727439622	51.0	148.69597315006615	151	0.0	86542932.0
SRR11352514_1	41.60793064255158	53.0	148.5381586507903	151	0.0	90072996.0
SRR11352514_2	40.18501099681669	53.0	148.58745678893595	151	0.0	90072996.0
SRR11352515_1	45.315167433683754	50.0	148.69688268111318	151	10.0	122067268.0
SRR11352515_2	44.07389299390888	51.0	148.80984389689135	151	10.0	122067268.0
SRR11352516_1	44.493086504594025	50.0	148.78024141037127	151	0.0	86667279.0
SRR11352516_2	43.07674124356225	50.0	148.84387521846625	151	0.0	86667279.0
SRR11352517_1	56.285178361857334	51.0	148.44616275988278	151	10.0	84959695.0
SRR11352517_2	54.6808420988334	51.0	148.67162180843516	151	10.0	84959695.0
SRR11352518_1	49.51837392466503	50.0	149.0524010920153	151	10.0	98993853.0
SRR11352518_2	47.72921896733229	50.0	149.00537014151777	151	10.0	98993853.0
SRR11352520_1	49.04536884991993	52.0	148.11044751483806	151	10.0	103963145.0
SRR11352520_2	47.41269400395579	53.0	148.2711947584887	151	0.0	103963145.0
SRR11352521_1	58.59379020806372	54.0	148.04575322125757	151	20.0	102218464.0
SRR11352521_2	56.80171290520112	54.0	148.07053633676202	151	10.0	102218464.0
SRR11352522_1	55.44907190861593	51.0	148.44269419614136	151	20.0	93334630.0
SRR11352522_2	54.14728641188487	51.0	148.45337255850268	151	20.0	93334630.0
SRR11352523_1	43.40673932054805	52.0	148.83553056812988	151	10.0	94559383.0
SRR11352523_2	42.26606843561359	52.0	149.03556286952508	151	10.0	94559383.0
SRR11352524_1	44.96643227963777	52.0	147.85403915134162	151	0.0	91228087.0
SRR11352524_2	43.38065621568384	52.0	148.38610759206207	151	0.0	91228087.0
SRR11352525_1	49.10276693356066	54.0	148.35672705021878	151	0.0	94764106.0
SRR11352525_2	47.42579650408266	54.0	148.41275194428573	151	0.0	94764106.0
SRR11352526_1	40.60839936148667	53.0	148.4083232188345	151	0.0	99183527.0
SRR11352526_2	39.11309812646253	53.0	148.4438455188229	151	0.0	99183527.0
SRR11352527_1	49.208790382147285	51.0	147.5142516908261	151	0.0	80144701.0
SRR11352527_2	47.84907789618702	51.0	148.34832868114387	151	10.0	80144701.0
SRR11352528_1	53.54488049955729	53.0	148.18541285075798	151	20.0	93609202.0
SRR11352528_2	50.36399581080955	53.0	147.85905858913316	151	20.0	93609202.0
SRR11352529_1	68.44056630635355	51.0	147.95777378888428	151	20.0	69613847.0
SRR11352529_2	66.84444716482616	51.0	148.31749651761092	151	30.0	69613847.0
SRR11352530_1	64.48224963436775	49.0	147.76296607125514	151	20.0	72232115.0
SRR11352530_2	62.780585885734915	50.0	148.16387221944146	151	30.0	72232115.0
SRR11352531_1	43.007139306535116	53.0	148.32652016506893	151	0.0	89691263.0
SRR11352531_2	41.73079829872196	53.0	148.3720021759533	151	0.0	89691263.0
SRR11352532_1	53.227743879041206	53.0	148.09462803069525	151	10.0	99554962.0
SRR11352532_2	51.74175077719095	53.0	148.17334723105012	151	10.0	99554962.0
