Module	Section	Sample Name	Source
FastQC	all_sections	SRR11352527_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352527_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352506_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352506_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352525_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352525_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352513_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352513_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352518_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352518_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352512_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352512_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352514_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352514_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352522_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352522_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352532_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352532_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352525_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352525_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352506_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352506_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352515_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352515_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352509_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352509_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352511_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352511_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352523_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352523_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352526_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352526_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352507_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352507_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352531_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352531_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352520_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352520_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352516_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352516_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352523_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352523_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352521_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352521_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352517_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352517_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352516_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352516_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352514_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352514_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352508_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352508_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352522_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352522_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352524_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352524_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352512_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352512_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352508_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352508_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352529_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352529_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352528_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352528_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352507_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352507_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352527_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352527_2_trimmed_fastqc.zip
FastQC	all_sections	SRR11352521_1	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352521_1_trimmed_fastqc.zip
FastQC	all_sections	SRR11352520_2	/scratch/sballas/ISG5312FinalProject/results/02_qc/fastqc_trimmed/SRR11352520_2_trimmed_fastqc.zip
