## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352510.sorted.bam --OUTPUT /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352510.markdup.bam --METRICS_FILE /scratch/sballas/ISG5312FinalProject/results/03_alignment/bwa_align/SRR11352510.markdup.metrics.txt --TMP_DIR /scratch/sballas/tmp --VALIDATION_STRINGENCY SILENT --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 03:24:28 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11352510_lib1	489581	90925814	2873843	827223	401475	39596681	0	0.436516	71155950

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	28720514	28720514
2.0	1.278639	13218984	13218984
3.0	1.356279	5615980	5615980
4.0	1.377912	2218023	2218023
5.0	1.38394	872820	872820
6.0	1.38562	355246	355246
7.0	1.386088	152762	152762
8.0	1.386218	70624	70624
9.0	1.386254	34622	34622
10.0	1.386264	18868	18868
11.0	1.386267	11564	11564
12.0	1.386268	7617	7617
13.0	1.386268	5350	5350
14.0	1.386268	4192	4192
15.0	1.386268	3186	3186
16.0	1.386268	2548	2548
17.0	1.386268	2084	2084
18.0	1.386268	1756	1756
19.0	1.386268	1437	1437
20.0	1.386268	1221	1221
21.0	1.386268	1092	1092
22.0	1.386268	922	922
23.0	1.386268	828	828
24.0	1.386268	692	692
25.0	1.386268	586	586
26.0	1.386268	561	561
27.0	1.386268	498	498
28.0	1.386268	396	396
29.0	1.386268	346	346
30.0	1.386268	366	366
31.0	1.386268	304	304
32.0	1.386268	270	270
33.0	1.386268	248	248
34.0	1.386268	216	216
35.0	1.386268	180	180
36.0	1.386268	177	177
37.0	1.386268	134	134
38.0	1.386268	151	151
39.0	1.386268	154	154
40.0	1.386268	122	122
41.0	1.386268	83	83
42.0	1.386268	108	108
43.0	1.386268	105	105
44.0	1.386268	71	71
45.0	1.386268	85	85
46.0	1.386268	63	63
47.0	1.386268	56	56
48.0	1.386268	48	48
49.0	1.386268	46	46
50.0	1.386268	48	48
51.0	1.386268	48	48
52.0	1.386268	53	53
53.0	1.386268	50	50
54.0	1.386268	45	45
55.0	1.386268	28	28
56.0	1.386268	31	31
57.0	1.386268	30	30
58.0	1.386268	21	21
59.0	1.386268	20	20
60.0	1.386268	20	20
61.0	1.386268	29	29
62.0	1.386268	18	18
63.0	1.386268	19	19
64.0	1.386268	11	11
65.0	1.386268	18	18
66.0	1.386268	18	18
67.0	1.386268	20	20
68.0	1.386268	7	7
69.0	1.386268	8	8
70.0	1.386268	7	7
71.0	1.386268	5	5
72.0	1.386268	1	1
73.0	1.386268	7	7
74.0	1.386268	7	7
75.0	1.386268	5	5
76.0	1.386268	6	6
77.0	1.386268	3	3
78.0	1.386268	9	9
79.0	1.386268	2	2
80.0	1.386268	2	2
81.0	1.386268	7	7
82.0	1.386268	3	3
83.0	1.386268	2	2
84.0	1.386268	3	3
85.0	1.386268	3	3
86.0	1.386268	2	2
87.0	1.386268	2	2
88.0	1.386268	1	1
89.0	1.386268	0	0
90.0	1.386268	3	3
91.0	1.386268	1	1
92.0	1.386268	1	1
93.0	1.386268	1	1
94.0	1.386268	2	2
95.0	1.386268	2	2
