Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
SRR11352506	241079654	0	0	0	1324772	0	94602820	0	240352755	0	99.7	nan	239754882	0	119877441	0	119877441	0	234108700	0	97.65	nan	238672026	0	355957	0	0.15	nan	1707516	0	1001541	0	241079654
SRR11352507	243004211	0	0	0	968611	0	83074981	0	242417735	0	99.76	nan	242035600	0	121017800	0	121017800	0	238137116	0	98.39	nan	241183608	0	265516	0	0.11	nan	1297768	0	801314	0	243004211
SRR11352508	180447165	0	0	0	605237	0	68943543	0	179980955	0	99.74	nan	179841928	0	89920964	0	89920964	0	175692368	0	97.69	nan	179159476	0	216242	0	0.12	nan	949082	0	516399	0	180447165
SRR11352509	200342067	0	0	0	752745	0	75316845	0	199789905	0	99.72	nan	199589322	0	99794661	0	99794661	0	195068064	0	97.73	nan	198767164	0	269996	0	0.14	nan	1093612	0	627877	0	200342067
SRR11352510	186042275	0	0	0	2873843	0	79594837	0	185215052	0	99.56	nan	183168432	0	91584216	0	91584216	0	176607686	0	96.42	nan	181851628	0	489581	0	0.27	nan	2315366	0	1670660	0	186042275
SRR11352511	226737340	0	0	0	4976252	0	130117027	0	224929682	0	99.2	nan	221761088	0	110880544	0	110880544	0	213688334	0	96.36	nan	218626976	0	1326454	0	0.6	nan	3737596	0	2828284	0	226737340
SRR11352512	187907540	0	0	0	466290	0	63475950	0	186879121	0	99.45	nan	187441250	0	93720625	0	93720625	0	182686458	0	97.46	nan	185679312	0	733519	0	0.39	nan	936814	0	469851	0	187907540
SRR11352513	173480484	0	0	0	394620	0	32301638	0	173181498	0	99.83	nan	173085864	0	86542932	0	86542932	0	170268842	0	98.37	nan	172643070	0	143808	0	0.08	nan	598236	0	358935	0	173480484
SRR11352514	180699646	0	0	0	553654	0	51399135	0	180294995	0	99.78	nan	180145992	0	90072996	0	90072996	0	176043938	0	97.72	nan	179548728	0	192613	0	0.11	nan	785718	0	446623	0	180699646
SRR11352515	244670622	0	0	0	536086	0	75375754	0	244175112	0	99.8	nan	244134536	0	122067268	0	122067268	0	239910008	0	98.27	nan	243399416	0	239610	0	0.1	nan	1001700	0	550466	0	244670622
SRR11352516	88630210	0	0	0	745184	0	26241394	0	88510507	0	99.86	nan	87885026	0	43951878	0	43933148	0	85619327	0	97.42	nan	87645620	0	119703	0	0.14	nan	671024	0	476516	0	88630210
SRR11352517	171478922	0	0	0	1559532	0	85228555	0	171044901	0	99.75	nan	169919390	0	84959695	0	84959695	0	165259932	0	97.26	nan	169274748	0	210621	0	0.12	nan	1410082	0	965255	0	171478922
SRR11352518	200180359	0	0	0	2192653	0	87127136	0	199949632	0	99.88	nan	197987706	0	98993853	0	98993853	0	195183230	0	98.58	nan	197634914	0	122065	0	0.06	nan	1826396	0	1456475	0	200180359
SRR11352519	130516502	0	0	0	483150	0	45167115	0	130106888	0	99.69	nan	130033352	0	65016676	0	65016676	0	127554542	0	98.09	nan	129407456	0	216282	0	0.17	nan	888172	0	551129	0	130516502
SRR11352520	209434229	0	0	0	1507939	0	81901676	0	208564055	0	99.58	nan	207926290	0	103963145	0	103963145	0	200731614	0	96.54	nan	206615874	0	440242	0	0.21	nan	2052018	0	1152452	0	209434229
SRR11352521	206722228	0	0	0	2285300	0	110122633	0	205877673	0	99.59	nan	204436928	0	102218464	0	102218464	0	196356340	0	96.05	nan	203180554	0	411819	0	0.2	nan	2584504	0	1717785	0	206722228
SRR11352522	187449557	0	0	0	780297	0	94659491	0	187004072	0	99.76	nan	186669260	0	93334630	0	93334630	0	181793748	0	97.39	nan	185993708	0	230067	0	0.12	nan	1070190	0	590736	0	187449557
SRR11352523	189718907	0	0	0	600141	0	48834351	0	189338505	0	99.8	nan	189118766	0	94559383	0	94559383	0	185703770	0	98.19	nan	188556170	0	182194	0	0.1	nan	788518	0	449906	0	189718907
SRR11352524	185753754	0	0	0	3297580	0	60764876	0	184774998	0	99.47	nan	182456174	0	91228087	0	91228087	0	177207930	0	97.12	nan	180772310	0	705108	0	0.39	nan	2602782	0	2056233	0	185753754
