Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR11352506	239754882.0	0.0	239754882.0	1.0	119877441.0	119877441.0	239027983.0	238672026.0	726899.0	234108700.0	239754882.0	94602820.0	4773349.0	0.0	0.0	1324772.0	35589408208.0	17792062236.0	17797345972.0	35502789621.0	35136233867.0	0.0	14008415368.0	121775383.0	0.003465806	148.0	148.0	148.0	151.0	151.0	151.0	36.1	203.2	54.8	109364325.0	8205947.0	911983.0	853758.0	97.6	99.69681576702993	99.54834871725366	0.3031842329700715	97.64501896566176	100.0	39.458141252781665	1.9909288020253952	0.0
SRR11352507	242035600.0	0.0	242035600.0	1.0	121017800.0	121017800.0	241449124.0	241183608.0	586476.0	238137116.0	242035600.0	83074981.0	3774692.0	0.0	0.0	968611.0	35933479090.0	17979827538.0	17953651552.0	35866686960.0	35575505527.0	0.0	12306230624.0	119711364.0	0.003364994	148.0	149.0	148.0	151.0	151.0	151.0	36.1	205.6	55.0	111867636.0	7717787.0	357497.0	648884.0	98.4	99.75769019102975	99.6479889735229	0.24230980897025065	98.3892931453059	100.0	34.32345530988003	1.5595606596715523	0.0
SRR11352508	179841928.0	0.0	179841928.0	1.0	89920964.0	89920964.0	179375718.0	179159476.0	466210.0	175692368.0	179841928.0	68943543.0	3212592.0	0.0	0.0	605237.0	26686073534.0	13352555305.0	13333518229.0	26631817563.0	26386582243.0	0.0	10213216029.0	93763610.0	0.003553458	148.0	148.0	148.0	151.0	151.0	151.0	36.1	203.8	56.5	82476535.0	6214076.0	414586.0	474541.0	97.7	99.74076679160156	99.620526755029	0.2592332083984331	97.69266263649043	100.0	38.335633835064314	1.7863420592332617	0.0
SRR11352509	199589322.0	0.0	199589322.0	1.0	99794661.0	99794661.0	199037160.0	198767164.0	552162.0	195068064.0	199589322.0	75316845.0	3427126.0	0.0	0.0	752745.0	29600114234.0	14818940266.0	14781173968.0	29538818980.0	29257264663.0	0.0	11145222942.0	108273886.0	0.003700752	148.0	148.0	148.0	151.0	151.0	151.0	36.0	205.4	57.7	91518221.0	6877231.0	441324.0	546806.0	97.7	99.72335093156937	99.58807515764796	0.27664906843062476	97.7347194956652	100.0	37.735909038260075	1.7170888530800261	0.0
SRR11352510	183168432.0	0.0	183168432.0	1.0	91584216.0	91584216.0	182341209.0	181851628.0	827223.0	176607686.0	183168432.0	79594837.0	4203548.0	0.0	0.0	2873843.0	27101379359.0	13553071925.0	13548307434.0	27016166870.0	26704231125.0	0.0	11769200978.0	105362618.0	0.00394554	148.0	148.0	148.0	151.0	151.0	151.0	36.0	201.6	57.3	82508935.0	6650822.0	608374.0	1157683.0	96.4	99.5483812407151	99.28109664660994	0.4516187592848968	96.41818957100642	100.0	43.454451256098544	2.2949085462499346	0.0
SRR11352511	221761088.0	0.0	221761088.0	1.0	110880544.0	110880544.0	219953430.0	218626976.0	1807658.0	213688334.0	221761088.0	130117027.0	5298807.0	0.0	0.0	4976252.0	32708549249.0	16313712885.0	16394836364.0	32552671643.0	32195203527.0	0.0	19236178204.0	124555600.0	0.003868763	147.0	147.0	148.0	151.0	151.0	151.0	36.0	204.7	55.2	99782425.0	7377520.0	284745.0	1868798.0	96.4	99.18486240471547	98.58671689056648	0.8151375952845253	96.35970671283863	100.0	58.67441766880221	2.38942144800444	0.0
SRR11352512	187441250.0	0.0	187441250.0	1.0	93720625.0	93720625.0	186412831.0	185679312.0	1028419.0	182686458.0	187441250.0	63475950.0	3117770.0	0.0	0.0	466290.0	27762696823.0	13864784284.0	13897912539.0	27671136871.0	27445066728.0	0.0	9388795825.0	97710001.0	0.003560203	148.0	148.0	148.0	151.0	151.0	151.0	36.0	208.4	59.5	86278370.0	5964343.0	128536.0	468407.0	97.5	99.45133795255848	99.06000520162983	0.5486620474415317	97.46331610571313	100.0	33.864450861269866	1.6633318439777798	0.0
SRR11352513	173085864.0	0.0	173085864.0	1.0	86542932.0	86542932.0	172786878.0	172643070.0	298986.0	170268842.0	173085864.0	32301638.0	2358619.0	0.0	0.0	394620.0	25736632465.0	12873175418.0	12863457047.0	25704958284.0	25514142712.0	0.0	4785463665.0	82850275.0	0.003247229	149.0	149.0	149.0	151.0	151.0	151.0	36.1	202.4	53.7	79777143.0	6083124.0	162150.0	299118.0	98.4	99.82726145677616	99.74417668215817	0.17273854322384177	98.37247136484815	100.0	18.662204557617716	1.3626872498380342	0.0
SRR11352514	180145992.0	0.0	180145992.0	1.0	90072996.0	90072996.0	179741341.0	179548728.0	404651.0	176043938.0	180145992.0	51399135.0	3052754.0	0.0	0.0	553654.0	26754143111.0	13375588271.0	13378554840.0	26709543769.0	26460717264.0	0.0	7610439350.0	94215513.0	0.003560581	149.0	148.0	149.0	151.0	151.0	151.0	36.1	194.7	49.5	81701186.0	7399241.0	281078.0	392859.0	97.7	99.7753760738679	99.66845557130131	0.22462392613208956	97.7229279683336	100.0	28.53193369964068	1.694600010862301	0.0
SRR11352515	244134536.0	0.0	244134536.0	1.0	122067268.0	122067268.0	243639026.0	243399416.0	495510.0	239910008.0	244134536.0	75375754.0	3633730.0	0.0	0.0	536086.0	36303402353.0	18145898348.0	18157504005.0	36247339447.0	35967214918.0	0.0	11178233956.0	115802296.0	0.003219663	149.0	149.0	149.0	151.0	151.0	151.0	36.1	204.4	54.6	112805792.0	8096461.0	296605.0	500850.0	98.3	99.7970340419186	99.69888733808641	0.20296595808140805	98.2695901738376	100.0	30.874678869686832	1.4884129298281665	0.0
