Sample	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct
SRR11352506	0.996968	0.003465806	0.0	239027983.0	99.69681576702993	97.64501896566176	1.9909288020253952	239754882.0	241079654	240352755	99.7
SRR11352507	0.997577	0.003364994	0.0	241449124.0	99.75769019102975	98.3892931453059	1.5595606596715523	242035600.0	243004211	242417735	99.76
SRR11352508	0.997408	0.003553458	0.0	179375718.0	99.74076679160156	97.69266263649043	1.7863420592332617	179841928.0	180447165	179980955	99.74
SRR11352509	0.997234	0.003700752	0.0	199037160.0	99.72335093156937	97.7347194956652	1.7170888530800261	199589322.0	200342067	199789905	99.72
SRR11352510	0.995484	0.00394554	0.0	182341209.0	99.5483812407151	96.41818957100642	2.2949085462499346	183168432.0	186042275	185215052	99.56
SRR11352511	0.991849	0.003868763	0.0	219953430.0	99.18486240471547	96.35970671283863	2.38942144800444	221761088.0	226737340	224929682	99.2
SRR11352512	0.994513	0.003560203	0.0	186412831.0	99.45133795255848	97.46331610571313	1.6633318439777798	187441250.0	187907540	186879121	99.45
SRR11352513	0.998273	0.003247229	0.0	172786878.0	99.82726145677616	98.37247136484815	1.3626872498380342	173085864.0	173480484	173181498	99.83
SRR11352514	0.997754	0.003560581	0.0	179741341.0	99.7753760738679	97.7229279683336	1.694600010862301	180145992.0	180699646	180294995	99.78
SRR11352515	0.99797	0.003219663	0.0	243639026.0	99.7970340419186	98.2695901738376	1.4884129298281665	244134536.0	244670622	244175112	99.8
SRR11352516	0.998638	0.003059753	0.0	87765323.0	99.8637959098971	97.42197379562703	1.255945466751071	87885026.0	88630210	88510507	99.86
SRR11352517	0.997446	0.003436049	0.0	169485369.0	99.74457241165943	97.2578420861798	1.95589273243036	169919390.0	171478922	171044901	99.75
SRR11352518	0.998835	0.003786301	0.0	197756979.0	99.88346397629357	98.58351002864794	2.1434250063991347	197987706.0	200180359	199949632	99.88
SRR11352519		0.003415805	0.0	129623738.0	99.68499312391793	98.09371214240483	1.7234893706346968	130033352.0	130516502	130106888	99.69
SRR11352520	0.995815	0.00359396	0.0	207056116.0	99.58149880902506	96.53979494367933	2.3264321216908166	207926290.0	209434229	208564055	99.58
SRR11352521	0.995869	0.003824624	0.0	203592373.0	99.58688725747238	96.04739315981112	2.3464532787344563	204436928.0	206722228	205877673	99.59
SRR11352522	0.997614	0.003476396	0.0	186223775.0	99.76135063695007	97.38815485742002	1.853153004410046	186669260.0	187449557	187004072	99.76
SRR11352523	0.997989	0.003042146	0.0	188738364.0	99.79885549803133	98.19425852218177	1.2694504362406849	189118766.0	189718907	189338505	99.8
SRR11352524	0.994636	0.00362535	0.0	181477418.0	99.46356652200764	97.12355910740516	2.1159799174567806	182456174.0	185753754	184774998	99.47
SRR11352525	0.997341	0.003723446	0.0	189024298.0	99.73412190476424	97.60350928652247	2.141098656067098	189528212.0	190783050	190279136	99.74
SRR11352526	0.997445	0.003600497	0.0	197860314.0	99.74454427296178	97.33082087310729	1.9707869432794016	198367054.0	200295341	199788601	99.75
SRR11352527	0.992185	0.003612039	0.0	159036812.0	99.2185447170113	96.69862764850792	2.0827253444990705	160289402.0	160874780	159622190	99.22
SRR11352528	0.996455	0.004000806	0.0	186554774.0	99.64553164335275	96.16862453330177	2.647365266504462	187218404.0	191514191	190850561	99.65
SRR11352529	0.993907	0.003668616	0.0	138379319.0	99.39065643075293	95.29852588092136	3.2459368320788244	139227694.0	140521352	139672977	99.4
SRR11352530	0.993517	0.00365566	0.0	143527722.0	99.35173710474905	95.27815155350221	2.9357987094798483	144464230.0	146047093	145110585	99.36
SRR11352531	0.996512	0.003648311	0.0	178756756.0	99.65115331244694	96.49854300747221	2.325034713804844	179382526.0	180273346	179647576	99.65
SRR11352532	0.996057	0.003830677	0.0	198324801.0	99.60568364236832	96.61311306612723	2.6971950428749096	199109924.0	200845782	200060659	99.61
SRR11392157	0.997272	0.003183561	0.0	172697318.0	99.72722016191172	98.72065371255212	1.3270255320085171	173169690.0	173593872	173121500	99.73
SRR11392158	0.997328	0.003265249	0.0	149883862.0	99.73278450751931	97.31870779664575	1.5959515920663188	150285448.0	150662093	150260507	99.73
SRR11392159	0.996074	0.003545225	0.0	178396201.0	99.60739167353807	97.44255814202798	2.0694155467668898	179099360.0	179650453	178947294	99.61
