Sample	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	SD_READ_LENGTH	MEDIAN_READ_LENGTH	MAD_READ_LENGTH	MIN_READ_LENGTH	MAX_READ_LENGTH	MEAN_ALIGNED_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	PCT_SOFTCLIP	PCT_HARDCLIP	AVG_POS_3PRIME_SOFTCLIP_LENGTH	SAMPLE	LIBRARY	READ_GROUP
SRR11352506	PAIR	239754882.0	239754882.0	1.0	0.0	239027983.0	0.996968	35056916965.0	232213449.0	34308796218.0	33763754882.0	0.0	0.002836	0.002711	0.000225	148.440807	13.777303	151.0	0.0	36.0	151.0	146.259684	238672026.0	0.998511	4919283.0	0.02058	0.0	0.504173	0.018789	0.000176	0.01226	0.0	11.088732			
SRR11352507	PAIR	242035600.0	242035600.0	1.0	0.0	241449124.0	0.997577	35515272113.0	236425736.0	34942657556.0	34380432218.0	0.0	0.002682	0.002599	0.000241	148.463611	13.644406	151.0	0.0	36.0	151.0	146.778184	241183608.0	0.9989	3312008.0	0.013717	0.0	0.501722	0.011122	9.7e-05	0.009494	0.0	10.513798			
SRR11352508	PAIR	179841928.0	179841928.0	1.0	0.0	179375718.0	0.997408	26348382522.0	174984966.0	25851682687.0	25431018874.0	0.0	0.002847	0.002746	0.00025	148.386274	13.855883	151.0	0.0	36.0	151.0	146.552009	179159476.0	0.998794	3683350.0	0.020534	0.0	0.502594	0.012367	7.3e-05	0.010328	0.0	10.288392			
SRR11352509	PAIR	199589322.0	199589322.0	1.0	0.0	199037160.0	0.997234	29209986883.0	194329032.0	28683421394.0	28171589550.0	0.0	0.003025	0.002925	0.000237	148.305099	14.06193	151.0	0.0	36.0	151.0	146.3931	198767164.0	0.998643	3969096.0	0.019941	0.0	0.50242	0.012626	0.000119	0.010822	0.0	10.764876			
SRR11352510	PAIR	183168432.0	183168432.0	1.0	0.0	182341209.0	0.995484	26541084546.0	176529389.0	25888768033.0	25430921192.0	0.0	0.003164	0.003009	0.000264	147.958789	15.003057	151.0	0.0	36.0	151.0	144.944471	181851628.0	0.997315	5733523.0	0.031444	0.0	0.503821	0.030315	0.00108	0.017228	0.0	13.662215			
SRR11352511	PAIR	221761088.0	221761088.0	1.0	0.0	219953430.0	0.991849	31915637085.0	213123628.0	31169974260.0	30649392560.0	0.0	0.003056	0.002891	0.000273	147.494538	16.339179	151.0	0.0	36.0	151.0	143.967807	218626976.0	0.993969	6265096.0	0.028484	0.0	0.502845	0.035013	0.003972	0.019145	0.0	15.998695			
SRR11352512	PAIR	187441250.0	187441250.0	1.0	0.0	186412831.0	0.994513	27414664538.0	182443839.0	26973044644.0	26526338728.0	0.0	0.002899	0.00279	0.000237	148.114125	14.720925	151.0	0.0	36.0	151.0	146.298952	185679312.0	0.996065	3726373.0	0.01999	0.0	0.502028	0.008207	0.002513	0.008957	0.0	10.33535			
SRR11352513	PAIR	173085864.0	173085864.0	1.0	0.0	172786878.0	0.998273	25488244692.0	169732255.0	25132149937.0	24731414544.0	0.0	0.002632	0.002565	0.000218	148.692862	13.00935	151.0	0.0	36.0	151.0	147.29758	172643070.0	0.999168	2518036.0	0.014573	0.0	0.501082	0.007069	4.5e-05	0.008153	0.0	9.497285			
SRR11352514	PAIR	180145992.0	180145992.0	1.0	0.0	179741341.0	0.997754	26426136296.0	175695343.0	25963503226.0	25553632285.0	0.0	0.002854	0.002776	0.00025	148.513674	13.534751	151.0	0.0	36.0	151.0	146.738494	179548728.0	0.998928	3697403.0	0.020571	0.0	0.501727	0.009851	7.7e-05	0.010286	0.0	9.766766			
SRR11352515	PAIR	244134536.0	244134536.0	1.0	0.0	243639026.0	0.99797	35931383812.0	238861134.0	35385527655.0	34841054183.0	0.0	0.00258	0.0025	0.000226	148.702445	12.973338	151.0	0.0	36.0	151.0	147.218835	243399416.0	0.999017	3729018.0	0.015306	0.0	0.50142	0.00817	6.8e-05	0.008433	0.0	9.893973			
