SRR11352506	SRR11392158
SRR11352507	SRR11392159
SRR11352508	SRR11392160
SRR11352509	SRR11392161
SRR11352510	SRR11392162
SRR11352511	SRR11392163
SRR11352512	SRR11392170
SRR11352513	SRR11392164
SRR11352514	SRR11392165
SRR11352515	SRR11392166
SRR11352516	SRR11392167
SRR11352517	SRR11392168
SRR11352518	SRR11392169
SRR11352519	SRR11392171
SRR11352520	SRR11392181
SRR11352521	SRR11392172
SRR11352522	SRR11392173
SRR11352523	SRR11392174
SRR11352524	SRR11392175
SRR11352526	SRR11392177
SRR11352527	SRR11392178
SRR11352528	SRR11392179
SRR11352529	SRR11392180
SRR11352530	SRR11392157
SRR11352531	SRR11392182
SRR11352532	SRR11392163
