# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCC12	ENSCAFG00000010194	ENSCAFT00000016220	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC12	ENSCAFG00000010194	ENSCAFT00000043941	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ACADVL	ENSCAFG00000016016	ENSCAFT00000025417	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACADVL	ENSCAFG00000016016	ENSCAFT00000042985	protein_coding	0	0	1	4	0	0	0	0	0	0	4	1	0	0	0	0	0
ACAT1	ENSCAFG00000014570	ENSCAFT00000023145	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ADAMTS15	ENSCAFG00000009961	ENSCAFT00000015848	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017051	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ADAMTS17	ENSCAFG00000010709	ENSCAFT00000017056	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ADAT2	ENSCAFG00000000305	ENSCAFT00000000467	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AFAP1	ENSCAFG00000014453	ENSCAFT00000022970	protein_coding	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000008589	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000045320	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000048696	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ANKH	ENSCAFG00000014290	ENSCAFT00000022708	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
ANKRD27	ENSCAFG00000007533	ENSCAFT00000012075	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGEF37	ENSCAFG00000018281	ENSCAFT00000029042	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCO2	ENSCAFG00000013963	ENSCAFT00000022164	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BRIX1	ENSCAFG00000018797	ENSCAFT00000029840	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
BRSK1	ENSCAFG00000002601	ENSCAFT00000004095	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
C19orf81	ENSCAFG00000029175	ENSCAFT00000043877	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CCDC155	ENSCAFG00000003677	ENSCAFT00000005911	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CD226	ENSCAFG00000000038	ENSCAFT00000000056	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CD226	ENSCAFG00000000038	ENSCAFT00000047983	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
CD3EAP	ENSCAFG00000004455	ENSCAFT00000007180	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CDNF	ENSCAFG00000004706	ENSCAFT00000007579	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
CNOT1	ENSCAFG00000008426	ENSCAFT00000013421	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CNTD2	ENSCAFG00000030355	ENSCAFT00000047423	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CUL5	ENSCAFG00000014613	ENSCAFT00000023239	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CUL5	ENSCAFG00000014613	ENSCAFT00000043293	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
