# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000020870	ENSCAFT00000032977	rRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000027280	ENSCAFT00000041563	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A2M	ENSCAFG00000025567	ENSCAFT00000021846	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAMP	ENSCAFG00000014625	ENSCAFT00000023220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AANAT	ENSCAFG00000005090	ENSCAFT00000008185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA12	ENSCAFG00000014278	ENSCAFT00000022695	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCA13	ENSCAFG00000003334	ENSCAFT00000005349	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA3	ENSCAFG00000019379	ENSCAFT00000030808	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB5	ENSCAFG00000002654	ENSCAFT00000004202	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ABCB6	ENSCAFG00000015130	ENSCAFT00000024031	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC11	ENSCAFG00000010061	ENSCAFT00000016007	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC11	ENSCAFG00000010061	ENSCAFT00000049771	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC3	ENSCAFG00000017201	ENSCAFT00000046338	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCF3	ENSCAFG00000012340	ENSCAFT00000019709	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCG2	ENSCAFG00000009638	ENSCAFT00000015321	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABHD17B	ENSCAFG00000001821	ENSCAFT00000002865	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABLIM3	ENSCAFG00000018323	ENSCAFT00000029116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABLIM3	ENSCAFG00000018323	ENSCAFT00000029119	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABO	ENSCAFG00000019757	ENSCAFT00000037786	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACD	ENSCAFG00000020352	ENSCAFT00000032411	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACD	ENSCAFG00000020352	ENSCAFT00000037042	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACD	ENSCAFG00000020352	ENSCAFT00000047143	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACER2	ENSCAFG00000029621	ENSCAFT00000042911	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000030224	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACOT11	ENSCAFG00000019022	ENSCAFT00000045798	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX2	ENSCAFG00000007261	ENSCAFT00000011675	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	ENSCAFG00000014189	ENSCAFT00000022529	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSBG1	ENSCAFG00000014189	ENSCAFT00000043911	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL1	ENSCAFG00000007662	ENSCAFT00000012314	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACSL5	ENSCAFG00000010928	ENSCAFT00000012348	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTR10	ENSCAFG00000015269	ENSCAFT00000024246	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACVRL1	ENSCAFG00000025220	ENSCAFT00000039088	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAD1	ENSCAFG00000004013	ENSCAFT00000006424	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAD1	ENSCAFG00000004013	ENSCAFT00000044062	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM33	ENSCAFG00000006234	ENSCAFT00000010090	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000009441	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044312	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000044346	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000046521	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSCAFG00000005847	ENSCAFT00000049621	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	ENSCAFG00000024869	ENSCAFT00000014421	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMDEC1	ENSCAFG00000024869	ENSCAFT00000014465	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000029912	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000049226	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000050154	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS15	ENSCAFG00000009961	ENSCAFT00000015848	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS20	ENSCAFG00000009744	ENSCAFT00000015482	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAMTS6	ENSCAFG00000007352	ENSCAFT00000011810	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADAMTS6	ENSCAFG00000007352	ENSCAFT00000044326	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000031017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000006552	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000046300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADGRB2	ENSCAFG00000010872	ENSCAFT00000017327	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRB2	ENSCAFG00000010872	ENSCAFT00000046829	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADGRD1	ENSCAFG00000006655	ENSCAFT00000010739	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ADGRL2	ENSCAFG00000020330	ENSCAFT00000032382	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGA	ENSCAFG00000008381	ENSCAFT00000013320	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGAP1	ENSCAFG00000012092	ENSCAFT00000019261	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGAP2	ENSCAFG00000000273	ENSCAFT00000000434	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGAP3	ENSCAFG00000004773	ENSCAFT00000007688	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGO2	ENSCAFG00000001196	ENSCAFT00000001857	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGTPBP1	ENSCAFG00000001358	ENSCAFT00000043460	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK9	ENSCAFG00000003835	ENSCAFT00000006176	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AK9	ENSCAFG00000003835	ENSCAFT00000045576	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000008589	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000045320	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1E2	ENSCAFG00000005329	ENSCAFT00000048696	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1A2	ENSCAFG00000016466	ENSCAFT00000026216	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH1L2	ENSCAFG00000001911	ENSCAFT00000003039	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ALDH3A2	ENSCAFG00000018166	ENSCAFT00000028862	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH3A2	ENSCAFG00000018166	ENSCAFT00000035903	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH7A1	ENSCAFG00000000588	ENSCAFT00000000904	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALDH7A1	ENSCAFG00000000588	ENSCAFT00000047359	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALG5	ENSCAFG00000006124	ENSCAFT00000009926	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALG5	ENSCAFG00000006124	ENSCAFT00000048217	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALK	ENSCAFG00000005297	ENSCAFT00000008540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALOX12	ENSCAFG00000023006	ENSCAFT00000025298	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALOX12B	ENSCAFG00000023464	ENSCAFT00000026827	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOX5AP	ENSCAFG00000006585	ENSCAFT00000010626	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALS2CL	ENSCAFG00000013696	ENSCAFT00000021741	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ALS2CL	ENSCAFG00000013696	ENSCAFT00000046780	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMDHD2	ENSCAFG00000019360	ENSCAFT00000030766	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMZ1	ENSCAFG00000016345	ENSCAFT00000025934	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
ANGPTL4	ENSCAFG00000018506	ENSCAFT00000029385	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANGPTL6	ENSCAFG00000017920	ENSCAFT00000028437	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANK1	ENSCAFG00000005691	ENSCAFT00000009193	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ENSCAFG00000005691	ENSCAFT00000009199	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK2	ENSCAFG00000011769	ENSCAFT00000044958	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANK3	ENSCAFG00000012694	ENSCAFT00000020300	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ANK3	ENSCAFG00000012694	ENSCAFT00000020308	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANKDD1A	ENSCAFG00000017109	ENSCAFT00000027092	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ANKDD1A	ENSCAFG00000017109	ENSCAFT00000027095	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
