# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000020660	ENSCAFT00000032767	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000020870	ENSCAFT00000032977	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000021234	ENSCAFT00000033341	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000021284	ENSCAFT00000033391	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000022454	ENSCAFT00000034561	rRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000022549	ENSCAFT00000034656	rRNA	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000025746	ENSCAFT00000040029	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000026192	ENSCAFT00000040475	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000026224	ENSCAFT00000040507	rRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000027176	ENSCAFT00000041459	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000027280	ENSCAFT00000041563	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027309	ENSCAFT00000041592	rRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000027470	ENSCAFT00000041753	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000027639	ENSCAFT00000041922	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000027657	ENSCAFT00000041940	rRNA	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028307	ENSCAFT00000042590	rRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000028753	ENSCAFT00000043246	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000030860	ENSCAFT00000035004	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000031253	ENSCAFT00000047517	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000031880	ENSCAFT00000035050	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	ENSCAFG00000002367	ENSCAFT00000036110	protein_coding	0	2	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0
A1CF	ENSCAFG00000015581	ENSCAFT00000024715	protein_coding	0	0	0	5	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
A2M	ENSCAFG00000025567	ENSCAFT00000021846	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0
A2ML1	ENSCAFG00000013853	ENSCAFT00000021984	protein_coding	0	1	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0
A2ML1	ENSCAFG00000013853	ENSCAFT00000049265	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	ENSCAFG00000010375	ENSCAFT00000016490	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A4GALT	ENSCAFG00000000946	ENSCAFT00000001468	protein_coding	0	2	3	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2
AAAS	ENSCAFG00000006963	ENSCAFT00000011174	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1
AADAC	ENSCAFG00000008554	ENSCAFT00000013588	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
