# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000021015	ENSCAFT00000033122	rRNA	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000021234	ENSCAFT00000033341	rRNA	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000021334	ENSCAFT00000033441	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000021359	ENSCAFT00000033466	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000022057	ENSCAFT00000034164	rRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
5S_rRNA	ENSCAFG00000022107	ENSCAFT00000034214	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000022454	ENSCAFT00000034561	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000022549	ENSCAFT00000034656	rRNA	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5S_rRNA	ENSCAFG00000026084	ENSCAFT00000040367	rRNA	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000026192	ENSCAFT00000040475	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000026224	ENSCAFT00000040507	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000026406	ENSCAFT00000040689	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027017	ENSCAFT00000041300	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027171	ENSCAFT00000041454	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027176	ENSCAFT00000041459	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027470	ENSCAFT00000041753	rRNA	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
5S_rRNA	ENSCAFG00000027587	ENSCAFT00000041870	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027685	ENSCAFT00000041968	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027690	ENSCAFT00000041973	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000028301	ENSCAFT00000042584	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028307	ENSCAFT00000042590	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000030936	ENSCAFT00000046993	rRNA	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	ENSCAFG00000002367	ENSCAFT00000036110	protein_coding	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
A1CF	ENSCAFG00000015581	ENSCAFT00000024715	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
A2M	ENSCAFG00000025567	ENSCAFT00000021846	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1	ENSCAFG00000013853	ENSCAFT00000021984	protein_coding	1	2	3	7	0	0	0	0	0	0	0	0	1	0	8	3	0	0	0	0	1	0	0	0	0	1	0
A2ML1	ENSCAFG00000013853	ENSCAFT00000049265	protein_coding	0	1	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1
A4GNT	ENSCAFG00000029516	ENSCAFT00000042927	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	ENSCAFG00000006963	ENSCAFT00000011174	protein_coding	0	0	0	4	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	ENSCAFG00000008541	ENSCAFT00000013550	protein_coding	0	1	2	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0
AAK1	ENSCAFG00000003309	ENSCAFT00000005298	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	ENSCAFG00000003309	ENSCAFT00000044943	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	ENSCAFG00000014625	ENSCAFT00000023220	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AANAT	ENSCAFG00000005090	ENSCAFT00000008185	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
AAR2	ENSCAFG00000008435	ENSCAFT00000013392	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AARS	ENSCAFG00000020132	ENSCAFT00000032047	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AARS	ENSCAFG00000020132	ENSCAFT00000044908	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	ENSCAFG00000001989	ENSCAFT00000003150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AASS	ENSCAFG00000003532	ENSCAFT00000005673	protein_coding	0	1	1	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0
AASS	ENSCAFG00000003532	ENSCAFT00000045610	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AATF	ENSCAFG00000017869	ENSCAFT00000028358	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AATF	ENSCAFG00000017869	ENSCAFT00000048352	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	ENSCAFG00000019030	ENSCAFT00000030230	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
ABCA1	ENSCAFG00000002727	ENSCAFT00000004346	protein_coding	0	2	2	5	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	2	0
