# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCAFG00000022549	ENSCAFT00000034656	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000027783	ENSCAFT00000042066	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028357	ENSCAFT00000042640	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5S_rRNA	ENSCAFG00000028753	ENSCAFT00000043246	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000031253	ENSCAFT00000047517	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSCAFG00000031880	ENSCAFT00000035050	rRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAAS	ENSCAFG00000006963	ENSCAFT00000011174	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
AANAT	ENSCAFG00000005090	ENSCAFT00000008185	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
AARS	ENSCAFG00000020132	ENSCAFT00000032047	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AARS	ENSCAFG00000020132	ENSCAFT00000044908	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AARS2	ENSCAFG00000001989	ENSCAFT00000003150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA13	ENSCAFG00000003334	ENSCAFT00000005349	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA2	ENSCAFG00000023212	ENSCAFT00000031220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA4	ENSCAFG00000020121	ENSCAFT00000005367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA4	ENSCAFG00000020121	ENSCAFT00000032029	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA4	ENSCAFG00000020121	ENSCAFT00000042929	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA5	ENSCAFG00000010810	ENSCAFT00000017260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA7	ENSCAFG00000019617	ENSCAFT00000031202	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCA8	ENSCAFG00000024916	ENSCAFT00000017436	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB11	ENSCAFG00000011980	ENSCAFT00000019045	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCB11	ENSCAFG00000011980	ENSCAFT00000048225	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCB4	ENSCAFG00000001833	ENSCAFT00000002889	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB5	ENSCAFG00000002654	ENSCAFT00000004202	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSCAFG00000004698	ENSCAFT00000007562	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC6	ENSCAFG00000018197	ENSCAFT00000028908	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000019308	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ENSCAFG00000012066	ENSCAFT00000043641	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD1	ENSCAFG00000004678	ENSCAFT00000036126	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ABHD11	ENSCAFG00000012539	ENSCAFT00000020011	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD16B	ENSCAFG00000029781	ENSCAFT00000049086	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ABL2	ENSCAFG00000013920	ENSCAFT00000022081	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ABR	ENSCAFG00000019060	ENSCAFT00000030275	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABR	ENSCAFG00000019060	ENSCAFT00000030278	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACAA1	ENSCAFG00000004959	ENSCAFT00000007975	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACAA1	ENSCAFG00000004959	ENSCAFT00000049287	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACACB	ENSCAFG00000010991	ENSCAFT00000017668	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAP3	ENSCAFG00000019294	ENSCAFT00000030647	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ACBD4	ENSCAFG00000013895	ENSCAFT00000022047	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACCS	ENSCAFG00000009497	ENSCAFT00000015091	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACCS	ENSCAFG00000009497	ENSCAFT00000048789	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACKR1	ENSCAFG00000025365	ENSCAFT00000039380	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ACOXL	ENSCAFG00000007073	ENSCAFT00000011341	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACOXL	ENSCAFG00000007073	ENSCAFT00000049359	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACSF2	ENSCAFG00000017050	ENSCAFT00000027010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTA2	ENSCAFG00000015708	ENSCAFT00000024881	protein_coding	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
ACVR1C	ENSCAFG00000009269	ENSCAFT00000014743	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADAM12	ENSCAFG00000012986	ENSCAFT00000020627	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM12	ENSCAFG00000012986	ENSCAFT00000045636	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM19	ENSCAFG00000017357	ENSCAFT00000027507	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS1	ENSCAFG00000008586	ENSCAFT00000013624	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS10	ENSCAFG00000018557	ENSCAFT00000029466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000029912	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000049226	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS12	ENSCAFG00000018844	ENSCAFT00000050154	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000022359	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS14	ENSCAFG00000014083	ENSCAFT00000035862	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS20	ENSCAFG00000009744	ENSCAFT00000015482	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS4	ENSCAFG00000012836	ENSCAFT00000020354	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAMTS7	ENSCAFG00000014148	ENSCAFT00000022463	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ADAMTSL2	ENSCAFG00000023757	ENSCAFT00000031449	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000031017	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000036507	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL5	ENSCAFG00000019512	ENSCAFT00000049063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAP1	ENSCAFG00000011344	ENSCAFT00000018028	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADAP2	ENSCAFG00000018466	ENSCAFT00000035392	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAT1	ENSCAFG00000020071	ENSCAFT00000031943	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCK2	ENSCAFG00000003933	ENSCAFT00000006326	protein_coding	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000006552	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY3	ENSCAFG00000004090	ENSCAFT00000046300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY4	ENSCAFG00000012293	ENSCAFT00000019560	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY4	ENSCAFG00000012293	ENSCAFT00000044937	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000533	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGB	ENSCAFG00000023693	ENSCAFT00000000535	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000010009	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	ENSCAFG00000006188	ENSCAFT00000044415	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	ENSCAFG00000024385	ENSCAFT00000013822	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRG2	ENSCAFG00000012983	ENSCAFT00000020607	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRL3	ENSCAFG00000002364	ENSCAFT00000003726	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGRL3	ENSCAFG00000002364	ENSCAFT00000003727	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGRV1	ENSCAFG00000008218	ENSCAFT00000013109	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADIPOQ	ENSCAFG00000013694	ENSCAFT00000021712	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADM5	ENSCAFG00000028797	ENSCAFT00000043321	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADPGK	ENSCAFG00000017727	ENSCAFT00000028116	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADPRHL2	ENSCAFG00000030689	ENSCAFT00000048860	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AFG3L2	ENSCAFG00000018817	ENSCAFT00000029872	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFTPH	ENSCAFG00000003175	ENSCAFT00000005113	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
